037f4e98598b1250f4988ae76af97d71,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida,89.55	201	85.84
0f3b2136a7c8f66b9740f4a19995ef52,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina,98.59	142	90.46
1f9f3b6f8ebba77d3f5f2fdf96cbaa72,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda,100	180	90.84
217e77043fafbda73feffe59230a7d63,Eukaryota	Stramenopiles	Labyrinthulomycetes	Thraustochytriaceae,97.21	251	91.48
278e0e9161d5fd9d2d67bc81c87bb9bb,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Dendrobranchiata	Sergestoidea,100	239	92.53
3831957acdee8df9a05e9c60c2faa5fd,Eukaryota	Metazoa	Chordata	Tunicata	Thaliacea	Salpida	Salpidae,100	252	92.01
38b5c4e94cb0556efd881a708e7c4c56,Eukaryota	Stramenopiles	Chrysophyceae,99.2	250	92.16
3bc056ea32ddc6c5f9c3e9be7b347aee,Eukaryota	Metazoa	Chordata	Craniata,99.6	252	92.44
4294ad1f0fb128602c3f65cede563789,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida,99.6	253	92.01
447d35d0a1794bb8fcdf929262135d70,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Anthoathecata,97.3	111	89.84
4bd1d4f87bf11fda6d72a01343819c3d,Eukaryota	Viridiplantae	Chlorophyta	prasinophytes,97.62	252	91.25
4dc35a5d36d2f5dcabaaa0548833e79b,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea	Suctoria,94.84	213	88.53
533f934e7081704bd72516ce8b1162f5,Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae,91.1	146	86.08
5668f83844b33a184029ba65ee8d4a3d,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda,96.44	253	90.28
5678fd43cb931a82c64b7314daa6f160,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,98.65	231	91.49
58c3bedc857877bb82202ac39a7e43c8,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea	Suctoria,94.66	206	88.61
5c4c51875f45829fd6515d8e41b3a980,Eukaryota	Stramenopiles	Chrysophyceae,99.2	250	92.16
5caca7cde84cb95493be5cd62296121f,Eukaryota	Fungi	Dikarya	Basidiomycota	Ustilaginomycotina	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia,99.21	252	92.14
61f2df1c0bc536556e8d75b70e9a250a,Eukaryota	Alveolata,87.3	189	85.66
75b60bc58eb8e242fa3f9602120b281a,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,99.01	134	72.42
78c6c378f467e915083cddf5231ebe55,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea,97.96	245	90.61
7a8566ddf902aa52e9fe79f189c6a7a3,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae	Physonectae,98.73	157	72.57
7abef88af2254f14193d631d63b6d3b2,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida,99.21	253	91.89
8717a61515ede9ee4004d7fff31bcf0f,Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Russulales	Stereaceae,99.21	252	73.78
9cf70395dc2753d13e28f92aef36de61,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Litostomatea,97.96	245	90.61
9ecc342e6fb43fd308b4ebb5adec50ee,Eukaryota	Metazoa	Chordata	Craniata,99.6	252	92.44
aa831988991b5b653162c8dab3f77b0f,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,100	314	93.09
ab8a9fe04c7c7dd29fd4cf56c5b739e9,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae	Physonectae,97.96	207	72.75
adac85cf596e5c6fe19a2d8af042b5de,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Dendrobranchiata	Sergestoidea,100	233	92.47
ae50393ad36e2362973c6170b163ed06,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,99.2	251	91.27
b39352f98a4d5686886ebc6e35293fb4,Eukaryota	Metazoa	Chordata	Tunicata	Thaliacea	Salpida	Salpidae,100	252	92.01
b5bb539dd1894571535d26de7946b480,Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Filobasidiales	mitosporic Filobasidiales	Cryptococcus	Cryptococcus terricola,99.21	252	92.23
ca145cc72819ec4a93fea00385a6d4a4,Eukaryota	Rhizaria	Cercozoa	Silicofilosea	Euglyphida,96.69	242	73.34
cb2d10f4d7fddd8ccfec0642ef2f453b,Eukaryota	Rhizaria	Cercozoa,99.2	251	92.21
cba56fc58f9d4c14a7231107b01f837d,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina,97.56	217	90.88
ced32704eb19787ccdf99bd12251f5d9,Eukaryota	Viridiplantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis,99.6	252	92.31
cfed83daeca2188be93d8458bea8fb40,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Eucalanidae,98.81	253	73.61
d65d11c1a4761728ac90f791fceb069d,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida,98.02	253	91.31
df78e6ad5ca3dde9c0170d2780467871,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,95.97	248	89.69
e7779e3c38a186c4a3ea58600160fe1f,Eukaryota	Alveolata,95.54	112	70.65
eec649660f3677e698276da3cf6a1543,Eukaryota	Fungi	Dikarya	Basidiomycota	Ustilaginomycotina	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia,99.21	252	92.14
f358da02bca5c066e3ce6f1a16271e8b,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Anthoathecata,97.3	111	89.84
f6c66ddcb96a2bedaca91c9a4b1677aa,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,99.2	251	91.27
