"Species"	"Fish"	"Gelatinous"	"Large crustacean"	"Mixed"	"Small crustacean"
"Abyla bicarinata"	1.02109967449887e-09	2.20324808579961e-56	0.830201665661105	9.54229253934051e-07	0.169797379088541
"Abylopsis tetragona"	2.2676193670302e-25	1.95835885487259e-38	0.155791454617954	0.0561095750634985	0.788098970318547
"Agalma clausi"	4.54197239111916e-38	2.24865926382156e-28	0.000401569572249002	0.993251019073772	0.00634741135397919
"Amphicaryon earnesti"	5.1800678424826e-22	4.14424715673678e-42	0.000504585504283735	1.88469838392762e-06	0.999493529797332
"Apolemia lanosa"	2.1465128415677e-128	1	1.20901128085134e-54	1.04086312738767e-33	1.71161353570327e-37
"Apolemia uvaria"	1.04280006144104e-124	1	1.9982394185733e-52	4.17845932047716e-32	1.52943873391318e-35
"Bargmannia elongata"	2.66483494686013e-21	9.15671461384255e-38	0.880731384431577	0.0354637296130337	0.0838048859553896
"Bargmannia lata"	7.62060711572621e-16	3.81163702477299e-49	0.999747101332328	0.000178806092534181	7.40925751373159e-05
"Bassia bassensis"	3.4877537151193e-22	8.47089324897316e-42	0.0957863008100094	0.00201636920520251	0.902197329984788
"Bathyphysa conifera"	1.70607104647622e-39	2.3724052990482e-23	1.31914073332725e-09	4.42700680673793e-07	0.999999555980179
"Ceratocymba dentata"	3.89689843439085e-14	2.14645865828159e-49	0.444815099471002	1.6250490596475e-05	0.555168650038362
"Ceratocymba leuckarti"	1.01328113202925e-20	1.70047977446637e-43	0.240979877901422	0.00198689572083903	0.757033226377739
"Chuniphyes moserae"	6.46887603563397e-12	2.98338340114644e-52	0.375908373383081	1.86543838683384e-06	0.624089761172063
"Chuniphyes multidentata"	3.88451360050534e-23	3.13218521978443e-41	0.0613402561110321	0.0014561001704285	0.937203643718539
"Cordagalma bimaculatum"	3.56609392120135e-16	9.76603173111843e-46	0.136783456287854	2.42375369562243e-05	0.863192306175189
"Craseoa lathetica"	9.20597794831391e-20	2.1004454120013e-45	0.579388371729046	0.00137835301726633	0.419233275253687
"Desmophyes haematogaster"	1.35222885973835e-25	2.48013842081894e-38	0.025820854660136	0.00550228960791528	0.968676855731949
"Diphyes bojani"	5.35372529274727e-37	5.40400441884569e-27	5.44923218990099e-06	0.00163318681097198	0.998361363956838
"Erenna laciniata"	0.999999999963255	3.10759361756698e-98	3.67451743339702e-11	1.6806300418397e-25	1.62912049426599e-20
"Forskalia asymmetrica"	0.897342552101653	8.16515383598797e-76	0.102657288613685	6.27948572779672e-12	1.59278381879681e-07
"Forskalia edwardsii"	5.16509698354732e-07	4.59820674731286e-62	0.999269513252339	6.57427160244925e-08	0.000729904495246614
"Forskalia formosa"	0.310765024647037	3.31680717072833e-72	0.689230247443644	1.71639211154769e-10	4.72773768017677e-06
"Frillagalma vityazi"	1.15054561094891e-44	1.21663713301169e-18	4.90232379619412e-06	0.978375900292675	0.0216191973835293
"Gymnopraia lapislazula"	1.74112673733659e-33	1.50902943586816e-29	0.000652552929517762	0.0883906557596437	0.910956791310838
"Halistemma foliacea"	8.91720455853518e-69	3.63783109252961e-13	2.86173735178276e-14	0.999999999999536	7.14918742235343e-14
"Halistemma rubrum"	5.58082718295823e-11	6.75114370751125e-62	0.999985110272714	6.07543553193197e-07	1.42821279242187e-05
"Halistemma transliratum"	1.26470269405994e-58	6.22748856500541e-18	2.57270231424203e-11	0.999999999949275	2.49985033859231e-11
"Kephyes ovata"	5.00347153681916e-22	9.18350816647141e-43	0.00865862055556602	5.63372634288797e-05	0.991285042181005
"Lensia conoidea"	3.00255051450284e-27	9.71327534602915e-37	0.00281350800660135	0.00153335249686363	0.995653139496535
"Lilyopsis fluoracantha"	3.34237377304655e-18	4.74784249225995e-48	0.934900600373219	0.000774632302919015	0.0643247673238622
"Lilyopsis medusa"	2.1191199639521e-22	1.71988960138125e-42	0.262914405400931	0.0059642920950273	0.731121302504042
"Marrus claudanielis"	5.40725284490337e-12	1.37032787413137e-61	0.99999509995246	1.23912103210253e-06	3.66092110117183e-06
"Marrus orthocanna"	1.02109235762183e-16	2.918182330449e-49	0.92995270175266	0.000203089594449309	0.0698442086528904
"Physonect sp"	0.980591937199084	1.67642045149152e-76	0.0194077765778865	8.02078894169103e-13	2.86222227069153e-07
"Physophora gilmeri"	9.77956237004688e-30	1.80417358753317e-37	0.22431523339262	0.775571136320407	0.000113630286973248
"Physophora hydrostatica"	2.44981815655684e-31	2.60159028889204e-35	0.0429204430604562	0.953583770037242	0.00349578690230171
"Praya reticulata"	0.0280458588620617	1.1304467111189e-70	0.971885194113528	6.6283106658125e-10	6.89463615796268e-05
"Resomia dunni"	8.00086095645143e-65	9.06464232124663e-11	1.06152194134749e-13	0.999999999864225	4.50229842840622e-11
"Resomia persica"	4.3349140094228e-42	1.18423649409098e-29	3.61909503247004e-07	0.999999635944998	2.14549896390137e-09
"Rosacea cymbiformis"	1.00055543445508e-25	3.60783172593374e-38	0.0401487373166549	0.0108436633564923	0.949007599326853
"Rosacea plicata"	8.81562200257291e-23	1.95193390231629e-41	0.0527908533096925	0.000881409747991768	0.946327736942316
"Stephanophyes superba"	1.14722372393929e-16	2.52289031463446e-50	0.960477687227752	0.000184326014478338	0.0393379867577692
"Vogtia glabra"	2.16222064654078e-33	1.11807506367345e-29	0.00352237211996677	0.433566725014324	0.56291090286571
"Vogtia serrata"	4.61738311877161e-27	1.0529756279378e-36	0.26596454155639	0.47704239652553	0.25699306191808
"Vogtia spinosa"	3.72884881481539e-35	1.29043270435904e-28	0.00165667468584108	0.86622883125862	0.132114494055539
