"Species"	"Predator"	"Prey"	"Secondary"	"Parasite"	"Environmental"	"Contamination"
"Agalma okenii"	1348540	0	0	0	0	0
"Apolemia lanosa"	6784399	596	0	14	138795	752
"Apolemia rubriversa"	3863276	2826	0	0	298	74
"Apolemia sp"	480354	10	0	34	109274	136
"Apolemia undescribed sp"	915802	3154	0	0	50	0
"Bargmannia amoena"	2832941	2751532	0	113932	265645	543
"Bargmannia elongata"	177564	74906	0	0	44683	833
"Bargmannia lata"	866616	230	0	66	36108	2911
"Chuniphyes moserae"	575844	0	0	0	210	0
"Chuniphyes multidentata"	1555288	1100	0	0	0	0
"Cordagalma ordinatum"	1190214	0	0	0	2084	76
"Craseoa lathetica"	2558139	0	0	0	13350	1181
"Desmophyes annectens"	111040	24	0	0	0	0
"Diphyes dispar"	7026768	860	0	0	737	0
"Erenna cornuta"	458464	0	0	0	84	0
"Erenna sirena"	2411341	0	0	6	274142	1591
"Forskalia formosa"	1262310	0	0	0	42	646
"Forskalia sp."	1647161	692072	0	30	26757	1867
"Frillagalma vityazi"	1542233	0	0	0	9823	1370
"Gymnopraia lapislazula"	1650615	0	0	0	601	14
"Halistemma rubrum"	465156	42	0	0	68	0
"Kephyes ovata"	665184	0	0	0	0	0
"Lensia conoidea"	401880	1364	0	0	40	0
"Lilyopsis fluoracantha"	455258	0	0	0	0	0
"Lychnagalma utricularia"	477540	1179950	0	0	26221	7986
"Marrus claudanielis"	1213945	0	0	0	3562	220
"Muggiaea atlantica"	1571267	6	0	0	268	0
"Nanomia (deep)"	876398	114740	0	0	309	19
"Nanomia sp. Atlantic"	13358459	317557	0	1177	586	19
"Nanomia sp. shallow"	5609075	74393	0	7472	547645	5937
"Physalia physalis"	2158015	21458	53630	5116	201179	4040
"Praya dubia"	1623904	0	0	20866	40	0
"Resomia dunni"	2336093	3574	0	0	19811	1269
"Resomia ornicephala"	908664	0	0	0	1492	1406
"Sphaeronectes christiansonae"	616868	216	0	142	140	40
"Sphaeronectes koellikeri"	3655422	4714	0	0	2000	417
"Stephanomia amphytridis"	3171532	0	0	0	439997	164
"Sulculeolaria chuni"	1488653	2594	0	0	72	0
"Undescribed physonect L"	3037966	3582	0	74	7894	626
"Undescribed physonect ZigZag"	285522	0	0	0	0	0
"Vogtia serrata"	1598225	352	0	0	140072	40827
